sn,population,elite_rate,crossover,mutation_rate,mutation_change,filename,error,generations
0,4,0.5,0.0,0.0,0.01,./data/models/0_0_0_0_0.csv,0.005870242590799077,49
1,4,0.5,0.125,0.0,0.01,./data/models/0_0_0_0_1.csv,0.005870252771968396,41
2,4,0.5,0.25,0.0,0.01,./data/models/0_0_0_0_2.csv,0.005870470283612544,49
3,4,0.5,0.375,0.0,0.01,./data/models/0_0_0_0_3.csv,0.0058704604808769364,43
4,4,0.5,0.5,0.0,0.01,./data/models/0_0_0_0_4.csv,0.005870100284295017,45
5,4,0.5,0.0,0.0,0.06,./data/models/0_0_0_1_0.csv,0.005870734759871292,10
6,4,0.5,0.125,0.0,0.06,./data/models/0_0_0_1_1.csv,0.005870701830449845,37
7,4,0.5,0.25,0.0,0.06,./data/models/0_0_0_1_2.csv,0.005871303554379479,36
8,4,0.5,0.375,0.0,0.06,./data/models/0_0_0_1_3.csv,0.005870601151513803,33
9,4,0.5,0.5,0.0,0.06,./data/models/0_0_0_1_4.csv,0.005870552062053349,29
10,4,0.5,0.0,0.0,0.11,./data/models/0_0_0_2_0.csv,0.005870676277962011,31
11,4,0.5,0.125,0.0,0.11,./data/models/0_0_0_2_1.csv,0.005870084078078983,26
12,4,0.5,0.25,0.0,0.11,./data/models/0_0_0_2_2.csv,0.0058703685732043615,41
13,4,0.5,0.375,0.0,0.11,./data/models/0_0_0_2_3.csv,0.005870849619307297,49
14,4,0.5,0.5,0.0,0.11,./data/models/0_0_0_2_4.csv,0.005870694295904951,10
15,4,0.5,0.0,0.0,0.16,./data/models/0_0_0_3_0.csv,0.00587451836590506,40
16,4,0.5,0.125,0.0,0.16,./data/models/0_0_0_3_1.csv,0.005870809021170211,10
17,4,0.5,0.25,0.0,0.16,./data/models/0_0_0_3_2.csv,0.005873698289745511,22
18,4,0.5,0.375,0.0,0.16,./data/models/0_0_0_3_3.csv,0.00587148942085401,40
19,4,0.5,0.5,0.0,0.16,./data/models/0_0_0_3_4.csv,0.0058720619136940575,45
20,4,0.5,0.0,0.0,0.21,./data/models/0_0_0_4_0.csv,0.005875292103525457,3
21,4,0.5,0.125,0.0,0.21,./data/models/0_0_0_4_1.csv,0.005878911004427724,3
22,4,0.5,0.25,0.0,0.21,./data/models/0_0_0_4_2.csv,0.005872181813610151,36
23,4,0.5,0.375,0.0,0.21,./data/models/0_0_0_4_3.csv,0.005871659492167439,40
24,4,0.5,0.5,0.0,0.21,./data/models/0_0_0_4_4.csv,0.005874002225399929,34
25,4,0.5,0.0,0.05,0.01,./data/models/0_0_1_0_0.csv,0.005870201550480769,44
26,4,0.5,0.125,0.05,0.01,./data/models/0_0_1_0_1.csv,0.005870298375120799,49
27,4,0.5,0.25,0.05,0.01,./data/models/0_0_1_0_2.csv,0.0058703451085480845,46
28,4,0.5,0.375,0.05,0.01,./data/models/0_0_1_0_3.csv,0.005870269625460036,49
29,4,0.5,0.5,0.05,0.01,./data/models/0_0_1_0_4.csv,0.005870231256270414,49
30,4,0.5,0.0,0.05,0.06,./data/models/0_0_1_1_0.csv,0.005870219880926647,8
31,4,0.5,0.125,0.05,0.06,./data/models/0_0_1_1_1.csv,0.005870520842006489,36
32,4,0.5,0.25,0.05,0.06,./data/models/0_0_1_1_2.csv,0.0058701972262422695,12
33,4,0.5,0.375,0.05,0.06,./data/models/0_0_1_1_3.csv,0.005870780712693831,34
34,4,0.5,0.5,0.05,0.06,./data/models/0_0_1_1_4.csv,0.005870433890211803,48
35,4,0.5,0.0,0.05,0.11,./data/models/0_0_1_2_0.csv,0.005872268122410559,36
36,4,0.5,0.125,0.05,0.11,./data/models/0_0_1_2_1.csv,0.00587074114402828,47
37,4,0.5,0.25,0.05,0.11,./data/models/0_0_1_2_2.csv,0.005870363301983673,46
38,4,0.5,0.375,0.05,0.11,./data/models/0_0_1_2_3.csv,0.005871329715649221,8
39,4,0.5,0.5,0.05,0.11,./data/models/0_0_1_2_4.csv,0.0058711315421081395,42
40,4,0.5,0.0,0.05,0.16,./data/models/0_0_1_3_0.csv,0.005871047127524951,26
41,4,0.5,0.125,0.05,0.16,./data/models/0_0_1_3_1.csv,0.005871063054666733,48
42,4,0.5,0.25,0.05,0.16,./data/models/0_0_1_3_2.csv,0.00587175528688077,21
43,4,0.5,0.375,0.05,0.16,./data/models/0_0_1_3_3.csv,0.005875675385365456,16
44,4,0.5,0.5,0.05,0.16,./data/models/0_0_1_3_4.csv,0.005870223482345977,31
45,4,0.5,0.0,0.05,0.21,./data/models/0_0_1_4_0.csv,0.005875984203468434,40
46,4,0.5,0.125,0.05,0.21,./data/models/0_0_1_4_1.csv,0.005871361594369603,40
47,4,0.5,0.25,0.05,0.21,./data/models/0_0_1_4_2.csv,0.005874008056168824,42
48,4,0.5,0.375,0.05,0.21,./data/models/0_0_1_4_3.csv,0.005871266313632566,29
49,4,0.5,0.5,0.05,0.21,./data/models/0_0_1_4_4.csv,0.005870454698024935,40
50,4,0.5,0.0,0.1,0.01,./data/models/0_0_2_0_0.csv,0.0058701565331168385,41
51,4,0.5,0.125,0.1,0.01,./data/models/0_0_2_0_1.csv,0.005870454042335242,49
52,4,0.5,0.25,0.1,0.01,./data/models/0_0_2_0_2.csv,0.00587029938122329,46
53,4,0.5,0.375,0.1,0.01,./data/models/0_0_2_0_3.csv,0.005870290268621398,44
54,4,0.5,0.5,0.1,0.01,./data/models/0_0_2_0_4.csv,0.005870362398901449,41
55,4,0.5,0.0,0.1,0.06,./data/models/0_0_2_1_0.csv,0.005870519731570528,26
56,4,0.5,0.125,0.1,0.06,./data/models/0_0_2_1_1.csv,0.005870477192276866,16
57,4,0.5,0.25,0.1,0.06,./data/models/0_0_2_1_2.csv,0.0058703176532251735,15
58,4,0.5,0.375,0.1,0.06,./data/models/0_0_2_1_3.csv,0.005870370037973143,20
59,4,0.5,0.5,0.1,0.06,./data/models/0_0_2_1_4.csv,0.005870367660583275,22
60,4,0.5,0.0,0.1,0.11,./data/models/0_0_2_2_0.csv,0.005870755957005798,43
61,4,0.5,0.125,0.1,0.11,./data/models/0_0_2_2_1.csv,0.0058708160575350315,41
62,4,0.5,0.25,0.1,0.11,./data/models/0_0_2_2_2.csv,0.005870332582807127,20
63,4,0.5,0.375,0.1,0.11,./data/models/0_0_2_2_3.csv,0.005870466510383369,18
64,4,0.5,0.5,0.1,0.11,./data/models/0_0_2_2_4.csv,0.00587035234136621,17
65,4,0.5,0.0,0.1,0.16,./data/models/0_0_2_3_0.csv,0.00587069664503651,43
66,4,0.5,0.125,0.1,0.16,./data/models/0_0_2_3_1.csv,0.005870615187576234,7
67,4,0.5,0.25,0.1,0.16,./data/models/0_0_2_3_2.csv,0.005871310588684649,41
68,4,0.5,0.375,0.1,0.16,./data/models/0_0_2_3_3.csv,0.005870281431511644,43
69,4,0.5,0.5,0.1,0.16,./data/models/0_0_2_3_4.csv,0.0058702079436964184,42
70,4,0.5,0.0,0.1,0.21,./data/models/0_0_2_4_0.csv,0.005870833884348089,31
71,4,0.5,0.125,0.1,0.21,./data/models/0_0_2_4_1.csv,0.005870582732044933,16
72,4,0.5,0.25,0.1,0.21,./data/models/0_0_2_4_2.csv,0.005870991556340978,18
73,4,0.5,0.375,0.1,0.21,./data/models/0_0_2_4_3.csv,0.005870627666483422,42
74,4,0.5,0.5,0.1,0.21,./data/models/0_0_2_4_4.csv,0.005871036860855511,31
75,4,0.5,0.0,0.15,0.01,./data/models/0_0_3_0_0.csv,0.0058702498751309114,46
76,4,0.5,0.125,0.15,0.01,./data/models/0_0_3_0_1.csv,0.005870187514411178,48
77,4,0.5,0.25,0.15,0.01,./data/models/0_0_3_0_2.csv,0.005870141438718711,45
78,4,0.5,0.375,0.15,0.01,./data/models/0_0_3_0_3.csv,0.005870249716261171,46
79,4,0.5,0.5,0.15,0.01,./data/models/0_0_3_0_4.csv,0.005870394071670746,40
80,4,0.5,0.0,0.15,0.06,./data/models/0_0_3_1_0.csv,0.0058707035916400405,29
81,4,0.5,0.125,0.15,0.06,./data/models/0_0_3_1_1.csv,0.0058702113330081004,12
82,4,0.5,0.25,0.15,0.06,./data/models/0_0_3_1_2.csv,0.005870510110363405,10
83,4,0.5,0.375,0.15,0.06,./data/models/0_0_3_1_3.csv,0.0058705363009117235,34
84,4,0.5,0.5,0.15,0.06,./data/models/0_0_3_1_4.csv,0.005870595388415481,29
85,4,0.5,0.0,0.15,0.11,./data/models/0_0_3_2_0.csv,0.005870789866679082,29
86,4,0.5,0.125,0.15,0.11,./data/models/0_0_3_2_1.csv,0.0058707019377879635,34
87,4,0.5,0.25,0.15,0.11,./data/models/0_0_3_2_2.csv,0.005870210763210722,9
88,4,0.5,0.375,0.15,0.11,./data/models/0_0_3_2_3.csv,0.0058701255081612756,45
89,4,0.5,0.5,0.15,0.11,./data/models/0_0_3_2_4.csv,0.005870185570035396,34
90,4,0.5,0.0,0.15,0.16,./data/models/0_0_3_3_0.csv,0.0058704807960275746,34
91,4,0.5,0.125,0.15,0.16,./data/models/0_0_3_3_1.csv,0.005870509702840199,34
92,4,0.5,0.25,0.15,0.16,./data/models/0_0_3_3_2.csv,0.005870580003816517,27
93,4,0.5,0.375,0.15,0.16,./data/models/0_0_3_3_3.csv,0.0058706813872516864,34
94,4,0.5,0.5,0.15,0.16,./data/models/0_0_3_3_4.csv,0.00587158795777827,27
95,4,0.5,0.0,0.15,0.21,./data/models/0_0_3_4_0.csv,0.005870361987876554,39
96,4,0.5,0.125,0.15,0.21,./data/models/0_0_3_4_1.csv,0.005870916388672207,49
97,4,0.5,0.25,0.15,0.21,./data/models/0_0_3_4_2.csv,0.005871170356597599,40
98,4,0.5,0.375,0.15,0.21,./data/models/0_0_3_4_3.csv,0.005870331082124776,33
99,4,0.5,0.5,0.15,0.21,./data/models/0_0_3_4_4.csv,0.005870704724223987,29
100,4,0.5,0.0,0.2,0.01,./data/models/0_0_4_0_0.csv,0.005870463588606987,47
101,4,0.5,0.125,0.2,0.01,./data/models/0_0_4_0_1.csv,0.005870461842362082,49
102,4,0.5,0.25,0.2,0.01,./data/models/0_0_4_0_2.csv,0.0058701020890811065,49
103,4,0.5,0.375,0.2,0.01,./data/models/0_0_4_0_3.csv,0.0058703445439500035,49
104,4,0.5,0.5,0.2,0.01,./data/models/0_0_4_0_4.csv,0.005870132412237778,49
105,4,0.5,0.0,0.2,0.06,./data/models/0_0_4_1_0.csv,0.005870140578287554,31
106,4,0.5,0.125,0.2,0.06,./data/models/0_0_4_1_1.csv,0.005870481591208854,32
107,4,0.5,0.25,0.2,0.06,./data/models/0_0_4_1_2.csv,0.005870421735266446,16
108,4,0.5,0.375,0.2,0.06,./data/models/0_0_4_1_3.csv,0.005870677262489609,41
